variant_name,fold_id,model_name,metric_scope,grouping_name,group_key,row_count,brier_score,log_loss,expected_calibration_error,calibration_intercept,calibration_slope,calibration_status,fold_count,variant_status,analysis_label,non_confirmatory
last_trade_only,,isotonic,fold_macro,horizon,14d,9830,0.11294576945653567,0.3579365868317938,0.05638344757001179,0.10795760639946944,0.921728112710314,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,horizon,15m,318960,0.05810045686121602,0.20128996741984456,0.014086035562189398,9.645051222076653e-05,1.0616390225077479,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,horizon,1d,89927,0.1103898479858143,0.3546298875464215,0.024684744811119062,-0.03308510693964758,0.859256735646538,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,horizon,1h,213343,0.05518031502712704,0.19131592211986284,0.015113522752483434,0.01864261259585432,1.0469092818523562,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,horizon,30d,6849,0.12742306213868806,0.4029326968997088,0.07200118762208071,0.0421363250088679,0.9124582464303579,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,horizon,3d,35649,0.08913692388171178,0.2995487747025009,0.032557471305463305,0.13099246598562583,0.9078973307336945,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,horizon,6h,178491,0.08823359499301554,0.2904471350315257,0.0222408164122778,0.03083873466472484,0.8780003233401121,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,horizon,7d,14899,0.09927834765895494,0.3248267425867249,0.04553047750969261,0.08940679934104848,0.9319901812487646,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,horizon,close,322768,0.03518013306456589,0.13629229493655481,0.01936059212517193,-0.10944976975643597,1.1687494008319705,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
last_trade_only,,isotonic,fold_macro,overall,overall,1190716,0.06459809140384964,0.2214307952894788,0.011237036041135086,0.020357256724532827,1.0024883585228492,fold_macro_mean,22.0,completed,robustness_non_confirmatory,True
