horizon_name,model_name,row_count,brier_score,brier_delta_vs_raw,brier_score_ci_lower,brier_score_ci_upper,brier_delta_ci_lower,brier_delta_ci_upper,brier_delta_p_value,brier_delta_q_value,log_loss,log_loss_delta_vs_raw,log_loss_ci_lower,log_loss_ci_upper,log_loss_delta_ci_lower,log_loss_delta_ci_upper,log_loss_delta_p_value,log_loss_delta_q_value,expected_calibration_error,ece_delta_vs_raw,ece_ci_lower,ece_ci_upper,ece_delta_ci_lower,ece_delta_ci_upper,ece_delta_p_value,ece_delta_q_value,effective_cluster_count,cluster_count
30d,beta,6,0.17828239590947584,-0.001184270757190825,,,,,,1.0,0.5160892406250476,-0.0016381109483236678,,,,,,1.0,0.33101871827887197,-0.008981281721128054,,,,,,1.0,1.3846153846153846,2
14d,beta,45,0.10188685279503426,-0.0018264805382990773,,,,,,1.0,0.32935125484730077,-0.00754410074588846,,,,,,1.0,0.10415567145591462,0.0052667825670257296,,,,,,1.0,15.458015267175572,20
7d,beta,68,0.10812893505390064,-0.00020488847551111689,0.06239966233746066,0.15923374428437104,-0.002749235619850642,0.002530028807720865,0.894,1.0,0.34546278294971766,-0.0017286612246534272,0.22079308852380652,0.48453027297601053,-0.011446166809556227,0.008875878650497767,0.694,1.0,0.094708988124942,-0.032791011875058035,0.07842393048496217,0.1736052387992735,-0.04722091551058784,-0.0013020226781312054,0.032,0.26666666666666666,26.57471264367816,33
3d,beta,129,0.11173769472453056,-0.00010804170957792736,0.09044148071993235,0.13555341556562656,-0.001451699232272784,0.0013228921362255866,0.882,1.0,0.3503764746912724,-0.003901639789212985,0.2923945360692556,0.41738650139521777,-0.008506017329469026,0.0014109689386069503,0.138,0.7500000000000001,0.07130359999779994,0.02021832867997047,0.051105093822035826,0.12593472008433737,-0.02572720980612213,0.04654403223132852,0.47,1.0,28.06239460370995,40
1d,beta,117,0.11409356193791162,0.0001491174934672157,0.08681172726014984,0.14546066907426028,-0.0014575485996516178,0.001819987070329327,0.916,1.0,0.3490756757943285,-0.003259004091051676,0.2823146849949096,0.4252435098982094,-0.009407871075559276,0.0040943731987879315,0.31,1.0,0.09199746235703331,0.016356436716007658,0.07046629187445962,0.156460962948695,-0.027352217403992535,0.058078554167129176,0.482,1.0,28.224742268041236,36
6h,beta,38,0.02918097248365245,-0.0038716590952949104,,,,,,1.0,0.13330335048404635,-0.015717341122225836,,,,,,1.0,0.11426033818422794,-0.013108082868403634,,,,,,1.0,10.169014084507042,13
1h,beta,5,0.00015880625305573034,-0.00016119374694427,,,,,,1.0,0.010875755874557419,-0.005286828597989063,,,,,,1.0,0.010795371940026298,-0.005204628059973709,,,,,,1.0,3.5714285714285716,4
close,beta,1,6.266365834887716e-05,-3.7336341651123025e-05,,,,,,1.0,0.007947536212616733,-0.0021027996408847175,,,,,,1.0,0.007916038046199447,-0.0020839619538005616,,,,,,1.0,1.0,1
30d,isotonic,6,0.19346263743733627,0.013995970770669608,,,,,,1.0,0.5412971707045023,0.023569819131131098,,,,,,1.0,0.34469001356895573,0.004690013568955709,,,,,,1.0,1.3846153846153846,2
14d,isotonic,45,0.10025525924667587,-0.0034580740866574644,,,,,,1.0,0.31896507717614336,-0.017930278417045864,,,,,,1.0,0.05902720009235307,-0.039861688796535816,,,,,,1.0,15.458015267175572,20
7d,isotonic,68,0.10832464723046353,-9.176298948226913e-06,0.06280735979038461,0.1622507971385159,-0.005566349872697233,0.007072656899982592,0.874,1.0,0.3550402278250921,0.007848783650721003,0.21955216919338297,0.5038345797344765,-0.019985649573603294,0.04183465552957573,0.704,1.0,0.0817917493093015,-0.04570825069069853,0.06229877954904074,0.16894608237903833,-0.08194275406556426,0.016560131525071922,0.19,0.8636363636363636,26.57471264367816,33
