horizon_name,model_name,row_count,calibration_intercept,calibration_intercept_ci_lower,calibration_intercept_ci_upper,calibration_intercept_p_value,calibration_slope,calibration_slope_ci_lower,calibration_slope_ci_upper,calibration_slope_p_value,effective_cluster_count,cluster_count,calibration_status
3d,platt,33027,-0.01367085823185331,-0.059637677655269145,0.038590767945855545,0.598,0.9495854784515166,0.922138456995727,0.9755261917301723,0.0,2213.120124738522,10358,converged
1d,platt,71281,-0.06114199884199819,-0.09050157544956047,-0.03253863804789641,0.0,0.9378419843103981,0.9169910276629222,0.9579237487767396,0.0,7223.448589069393,24149,converged
6h,platt,112596,-0.01002255252216062,-0.03772539943871761,0.019928495529248642,0.446,0.9799331990388694,0.964338362815592,0.9960123473567585,0.012,10257.682194414283,34588,converged
1h,platt,61338,-0.028695371555458683,-0.055547326924042614,0.0009247960349941896,0.066,0.9868909388322721,0.9652894645569906,1.008515838239373,0.258,4507.784542685776,17974,converged
15m,platt,116397,0.005738997690780953,-0.015577172678725633,0.029773775409432282,0.61,1.051153065559564,1.0366202664786688,1.0656379804302298,0.0,18478.38788998834,33859,converged
close,platt,66395,-0.12091566681274724,-0.15156855520546517,-0.09201431478703043,0.0,1.0779372106248826,1.0576273930580775,1.096227582639632,0.0,18681.35771889157,28392,converged
30d,beta,6849,0.007759188834212547,-0.09926751480393496,0.09728028894488108,0.904,0.9927773642532267,0.9162308019371116,1.0602023497780606,0.848,979.6955159666674,2116,converged
14d,beta,9830,-0.0029533301943095733,-0.10053886554070973,0.08737145468961188,0.93,1.0189200095210735,0.96002201457107,1.0716490297466252,0.482,1176.8512203439373,2873,converged
7d,beta,14899,-0.06349273300738488,-0.12729038905938492,-0.00017219008655011944,0.05,1.016516994399485,0.9769168473804815,1.0547551292136175,0.406,1602.132043333598,4221,converged
3d,beta,33027,-0.015226475041673779,-0.060802418825858434,0.034355761569725723,0.574,0.9464628448830427,0.9211539851912938,0.9718254421375501,0.0,2213.120124738522,10358,converged
1d,beta,71281,-0.06676649129127048,-0.09643030861525188,-0.0367505805053545,0.0,0.9335993233144351,0.9133129642704247,0.9523689738450064,0.0,7223.448589069393,24149,converged
6h,beta,112596,-0.013199072483605126,-0.040195846513261434,0.014006894577623526,0.39,0.9773471173150649,0.962484494886509,0.9934847305624632,0.006,10257.682194414283,34588,converged
1h,beta,61338,-0.026876003763853074,-0.05595144226256408,0.0018547673567224253,0.064,0.9894737964386726,0.9673111724824647,1.0109635160692283,0.362,4507.784542685776,17974,converged
15m,beta,116397,0.004468010764179936,-0.017545109399744383,0.02761832368405405,0.71,1.0536551606009252,1.0390035094336658,1.0672362832598108,0.0,18478.38788998834,33859,converged
close,beta,66395,-0.11241448368365897,-0.1416555405468366,-0.08197875548283381,0.0,1.0847054294890728,1.0646709621816708,1.1051101521465092,0.0,18681.35771889157,28392,converged
30d,isotonic,6849,0.03809089902749023,-0.051596953482731654,0.1341428354387369,0.406,0.9821452155989263,0.9112543313534159,1.04659716226006,0.594,979.6955159666674,2116,converged
14d,isotonic,9830,0.032000406946567805,-0.062351092304874754,0.11294748199866646,0.458,1.0050455241705256,0.9461553946149669,1.0581627243696439,0.862,1176.8512203439373,2873,converged
7d,isotonic,14899,-0.028099577752135476,-0.0892838961773409,0.03286062689907812,0.386,0.9902495758794685,0.9448847728272344,1.034084489576863,0.648,1602.132043333598,4221,converged
3d,isotonic,33027,-0.0027134955969009295,-0.050599506654047305,0.04567061242191811,0.91,0.8927644427666929,0.8595335625833571,0.9241100349997514,0.0,2213.120124738522,10358,converged
1d,isotonic,71281,-0.06539946479240515,-0.0949168757791332,-0.035912282397424236,0.0,0.8884502264395723,0.8645379379939344,0.9109198679412707,0.0,7223.448589069393,24149,converged
6h,isotonic,112596,0.00859439786961381,-0.015188329194541512,0.034642724067268954,0.494,0.9410078386299314,0.9240135180193397,0.9577353914490956,0.0,10257.682194414283,34588,converged
1h,isotonic,61338,0.03253486828018242,0.0055726037700351925,0.06057328529255311,0.01,0.9900262070657939,0.9667488472344946,1.0141659906476754,0.43,4507.784542685776,17974,converged
15m,isotonic,116397,0.04803603268523147,0.025429960087377287,0.06912076900562879,0.0,1.051057391725308,1.035506732349141,1.0657182691954503,0.0,18478.38788998834,33859,converged
close,isotonic,66395,-0.0023118440374637304,-0.03293563874710418,0.027983957008672067,0.848,1.099749662213311,1.0751159877707421,1.1238444797723723,0.0,18681.35771889157,28392,converged
